DATE,TIME,CUSTOMERTYPE,PRODUCTCATEGORY,UNITPRICE,QUANTITY,TOTAL,FULLNAME,MONTH,YEAR,DAY_OF_WEEK,HOUR,REVENUE_PER_UNIT
"2023-07-05 11:13:00",13:58:35,Member,Grocery,361.65,3,1084.95,"Shreya Zutshi",July,2023,Wednesday,13,361.65000000000003
"2024-10-18 14:00:00",15:53:00,Member,Clothing,253.75,5,1268.75,"Krishna Sharma",October,2024,Friday,15,253.75
"2023-10-02 12:45:00",11:28:32,Premium,"Home & Kitchen",312.13,4,1248.52,"Yash Wadhwa",October,2023,Monday,11,312.13
"2023-07-22 23:28:00",08:18:20,Regular,Electronics,445.91,2,891.82,"Diya Lal",July,2023,Saturday,8,445.91
"2023-05-22 12:23:00",15:27:25,Premium,Clothing,41.22,4,164.88,"Mahesh Zutshi",May,2023,Monday,15,41.22
"2024-09-12 20:16:00",05:57:50,Regular,"Home & Kitchen",212.03,2,424.06,"Tanvi Bhatia",September,2024,Thursday,5,212.03
"2023-01-21 23:29:00",06:51:30,Regular,Electronics,428.3,5,2141.5,"Ishaan Lal",January,2023,Saturday,6,428.3
"2023-09-02 18:49:00",18:50:35,Member,"Beauty & Personal Care",400.81,3,1202.43,"Jai Khanna",September,2023,Saturday,18,400.81
"2023-08-19 12:22:00",13:10:43,Premium,"Home & Kitchen",285.68,3,857.04,"Eeshaan Xavier",August,2023,Saturday,13,285.68
"2024-10-21 05:59:00",19:32:57,Member,"Home & Kitchen",37.27,4,149.08,"Mahesh Sharma",October,2024,Monday,19,37.27
"2023-07-27 03:56:00",09:35:43,Regular,Clothing,196.52,2,393.04,"Priya Iyer",July,2023,Thursday,9,196.52
"2023-08-28 20:53:00",13:27:42,Premium,Grocery,123.56,2,247.12,"Gaurav Wadhwa",August,2023,Monday,13,123.56
"2024-02-22 21:15:00",22:40:21,Member,"Home & Kitchen",371.71,5,1858.55,"Bhavesh Iyer",February,2024,Thursday,22,371.71
"2023-04-20 09:11:00",06:01:38,Premium,Electronics,185.81,3,557.43,"Krishna Singh",April,2023,Thursday,6,185.80999999999997
"2024-10-07 21:38:00",05:26:16,Member,"Home & Kitchen",479.63,5,2398.15,"Gaurav Xavier",October,2024,Monday,5,479.63
"2025-01-04 11:13:00",08:39:50,Member,Clothing,213.62,5,1068.1,"Uday Iyer",January,2025,Saturday,8,213.61999999999998
"2024-03-30 21:24:00",21:07:25,Member,"Beauty & Personal Care",108.28,3,324.84,"Zara Bhatia",March,2024,Saturday,21,108.27999999999999
"2023-02-17 02:45:00",15:23:18,Member,"Beauty & Personal Care",32.05,5,160.25,"Uday Verma",February,2023,Friday,15,32.05
"2023-10-03 17:57:00",01:59:58,Premium,"Beauty & Personal Care",158.87,1,158.87,"Avani Singh",October,2023,Tuesday,1,158.87
"2023-01-09 19:44:00",03:38:53,Regular,Electronics,191.64,4,766.56,"Vaibhav Lal",January,2023,Monday,3,191.64
"2023-10-09 22:04:00",20:42:22,Member,"Home & Kitchen",210.56,3,631.68,"Gaurav Desai",October,2023,Monday,20,210.55999999999997
"2024-08-08 03:10:00",19:59:28,Regular,Electronics,232.86,4,931.44,"Priya Mehta",August,2024,Thursday,19,232.86
"2023-03-03 03:51:00",16:23:38,Regular,Clothing,26.8,1,26.8,"Bhavesh Lal",March,2023,Friday,16,26.8
"2023-08-11 05:02:00",14:31:12,Premium,"Home & Kitchen",116.63,1,116.63,"Diya Sharma",August,2023,Friday,14,116.63
"2024-03-06 04:26:00",13:34:10,Regular,Electronics,307.24,1,307.24,"Yash Mehta",March,2024,Wednesday,13,307.24
"2023-09-12 01:32:00",14:48:44,Regular,Clothing,395.45,4,1581.8,"Diya Sharma",September,2023,Tuesday,14,395.45
"2024-04-16 22:02:00",12:52:16,Regular,Electronics,152.6,2,305.2,"Tanvi Khanna",April,2024,Tuesday,12,152.6
"2023-02-01 19:04:00",16:46:20,Regular,Grocery,249.67,3,749.01,"Tanvi Agarwal",February,2023,Wednesday,16,249.67
"2023-02-13 09:26:00",15:45:55,Premium,Grocery,186.53,1,186.53,"Tanvi Sharma",February,2023,Monday,15,186.53
"2023-10-30 08:51:00",09:13:07,Premium,"Home & Kitchen",180.19,4,720.76,"Mahesh Agarwal",October,2023,Monday,9,180.19
"2023-09-08 19:44:00",05:29:14,Regular,"Beauty & Personal Care",406.18,2,812.36,"Rohan Iyer",September,2023,Friday,5,406.18
"2024-03-29 09:05:00",08:27:43,Regular,Grocery,177.54,3,532.62,"Eeshaan Lal",March,2024,Friday,8,177.54
"2023-12-30 06:23:00",20:13:31,Regular,"Home & Kitchen",424.53,3,1273.59,"Bhavesh Desai",December,2023,Saturday,20,424.53
"2023-11-06 10:40:00",07:28:57,Premium,Clothing,248.48,1,248.48,"Tanvi Zutshi",November,2023,Monday,7,248.48
"2023-06-28 15:29:00",01:53:34,Regular,Grocery,105.33,1,105.33,"Avani Chauhan",June,2023,Wednesday,1,105.33
"2023-03-20 17:25:00",02:05:18,Regular,"Beauty & Personal Care",149.68,4,598.72,"Aakash Desai",March,2023,Monday,2,149.68
"2025-01-04 17:38:00",21:47:57,Member,Grocery,183.21,5,916.05,"Uday Chauhan",January,2025,Saturday,21,183.20999999999998
"2023-09-13 10:54:00",03:42:07,Premium,Clothing,325.16,1,325.16,"Ishaan Agarwal",September,2023,Wednesday,3,325.16
"2024-12-06 12:40:00",22:34:30,Regular,Electronics,425.14,5,2125.7,"Krishna Patel",December,2024,Friday,22,425.14
"2024-12-28 11:27:00",21:54:08,Premium,"Beauty & Personal Care",493.76,3,1481.28,"Zara Wadhwa",December,2024,Saturday,21,493.76
"2023-04-25 22:18:00",23:15:07,Premium,Grocery,106.49,3,319.47,"Eeshaan Lal",April,2023,Tuesday,23,106.49000000000001
"2023-11-12 23:58:00",07:02:24,Regular,"Beauty & Personal Care",219.02,2,438.04,"Mahesh Gupta",November,2023,Sunday,7,219.02
"2023-06-25 15:41:00",12:23:37,Regular,"Beauty & Personal Care",46.61,4,186.44,"Avani Zutshi",June,2023,Sunday,12,46.61
"2024-08-16 08:11:00",04:31:15,Member,Grocery,446.39,3,1339.17,"Avani Lal",August,2024,Friday,4,446.39000000000004
"2024-03-13 12:50:00",01:17:39,Member,Grocery,420.09,5,2100.45,"Zara Verma",March,2024,Wednesday,1,420.09
"2024-10-30 22:43:00",22:57:24,Member,Grocery,375.87,1,375.87,"Nandini Singh",October,2024,Wednesday,22,375.87
"2023-05-11 04:37:00",05:42:55,Premium,"Home & Kitchen",317.72,2,635.44,"Lakshmi Zutshi",May,2023,Thursday,5,317.72
"2024-09-27 18:53:00",09:15:22,Regular,Electronics,102.96,4,411.84,"Eeshaan Verma",September,2024,Friday,9,102.96
"2025-01-06 20:24:00",16:34:46,Regular,Clothing,417.52,5,2087.6,"Lakshmi Mehta",January,2025,Monday,16,417.52
"2023-02-23 20:15:00",02:10:15,Regular,Grocery,176.15,5,880.75,"Uday Mehta",February,2023,Thursday,2,176.15
"2024-01-13 10:08:00",09:38:28,Member,"Home & Kitchen",361.07,3,1083.21,"Jai Xavier",January,2024,Saturday,9,361.07
"2024-08-14 22:38:00",20:13:22,Member,Electronics,258.96,3,776.88,"Aakash Wadhwa",August,2024,Wednesday,20,258.96
"2023-08-09 13:08:00",03:22:38,Premium,"Beauty & Personal Care",43.31,4,173.24,"Nandini Zutshi",August,2023,Wednesday,3,43.31
"2023-09-02 19:55:00",12:28:29,Member,Grocery,34.51,5,172.55,"Shreya Khanna",September,2023,Saturday,12,34.510000000000005
"2024-11-28 11:29:00",09:33:35,Regular,Clothing,237.98,2,475.96,"Gaurav Singh",November,2024,Thursday,9,237.98
"2023-01-24 17:40:00",03:33:42,Premium,Grocery,392.59,4,1570.36,"Mahesh Wadhwa",January,2023,Tuesday,3,392.59
"2023-07-07 18:58:00",15:35:43,Member,Clothing,124.91,4,499.64,"Uday Yadav",July,2023,Friday,15,124.91
"2024-02-26 08:52:00",17:35:54,Regular,"Beauty & Personal Care",138.5,2,277,"Gaurav Jain",February,2024,Monday,17,138.5
"2023-04-29 01:35:00",02:22:36,Member,Grocery,87.15,2,174.3,"Shreya Jain",April,2023,Saturday,2,87.15
"2023-03-21 23:56:00",21:15:37,Premium,Clothing,48.19,4,192.76,"Avani Agarwal",March,2023,Tuesday,21,48.19
"2024-01-10 18:55:00",06:28:12,Premium,Grocery,260.99,1,260.99,"Vaibhav Khanna",January,2024,Wednesday,6,260.99
"2023-12-09 07:33:00",10:33:55,Regular,Grocery,91.95,2,183.9,"Mahesh Kumar",December,2023,Saturday,10,91.95
"2024-12-18 12:28:00",03:13:49,Regular,"Home & Kitchen",429.53,1,429.53,"Tanvi Bhatia",December,2024,Wednesday,3,429.53
"2024-06-29 13:32:00",10:35:37,Member,"Home & Kitchen",79.48,2,158.96,"Uday Verma",June,2024,Saturday,10,79.48
"2023-06-08 14:43:00",05:40:17,Member,Electronics,127.18,2,254.36,"Ishaan Singh",June,2023,Thursday,5,127.18
"2023-12-24 21:39:00",06:45:02,Member,Grocery,472.36,4,1889.44,"Ishaan Khanna",December,2023,Sunday,6,472.36
"2024-08-18 16:02:00",17:51:12,Member,Clothing,185.65,4,742.6,"Uday Rao",August,2024,Sunday,17,185.65
"2024-06-14 12:56:00",17:25:27,Premium,"Beauty & Personal Care",433.88,3,1301.64,"Ishaan Mehta",June,2024,Friday,17,433.88000000000005
"2024-03-01 07:22:00",01:52:46,Regular,Electronics,245.75,3,737.25,"Diya Gupta",March,2024,Friday,1,245.75
"2024-09-21 02:44:00",01:48:14,Member,Clothing,129.54,4,518.16,"Ishaan Yadav",September,2024,Saturday,1,129.54
"2023-08-22 00:44:00",09:47:26,Regular,Electronics,77.07,2,154.14,"Shreya Yadav",August,2023,Tuesday,9,77.07
"2024-06-18 14:38:00",01:25:14,Member,Electronics,68.8,5,344,"Yash Yadav",June,2024,Tuesday,1,68.8
"2024-11-05 02:14:00",12:53:45,Member,Clothing,153.07,5,765.35,"Bhavesh Yadav",November,2024,Tuesday,12,153.07
"2023-08-07 01:33:00",19:17:33,Premium,Grocery,320.95,4,1283.8,"Avani Verma",August,2023,Monday,19,320.95
"2023-06-11 14:08:00",10:59:57,Regular,Grocery,347,1,347,"Yash Gupta",June,2023,Sunday,10,347
"2024-02-26 19:32:00",09:24:13,Regular,Grocery,258.03,5,1290.15,"Lakshmi Patel",February,2024,Monday,9,258.03000000000003
"2023-01-18 05:06:00",21:28:43,Regular,"Home & Kitchen",241.55,2,483.1,"Bhavesh Iyer",January,2023,Wednesday,21,241.55
"2023-05-28 02:13:00",04:24:27,Regular,Electronics,22.6,2,45.2,"Zara Kumar",May,2023,Sunday,4,22.6
"2024-07-03 01:55:00",06:34:22,Regular,Electronics,484.94,4,1939.76,"Priya Bhatia",July,2024,Wednesday,6,484.94
"2023-04-18 14:03:00",02:17:34,Member,"Beauty & Personal Care",91.8,4,367.2,"Yash Singh",April,2023,Tuesday,2,91.8
"2023-04-28 05:14:00",21:14:11,Premium,Grocery,362.87,3,1088.61,"Rohan Kumar",April,2023,Friday,21,362.86999999999995
"2023-02-23 02:39:00",05:27:35,Member,"Home & Kitchen",380.7,2,761.4,"Zara Iyer",February,2023,Thursday,5,380.7
"2024-02-08 07:02:00",08:07:46,Regular,"Beauty & Personal Care",469.12,5,2345.6,"Priya Singh",February,2024,Thursday,8,469.12
"2023-02-19 16:09:00",05:15:17,Premium,Electronics,490.68,2,981.36,"Aakash Wadhwa",February,2023,Sunday,5,490.68
"2023-05-11 21:53:00",00:44:38,Member,"Beauty & Personal Care",251.94,3,755.82,"Diya Sharma",May,2023,Thursday,0,251.94000000000003
"2023-03-16 08:01:00",07:51:36,Member,Electronics,165.3,2,330.6,"Gaurav Yadav",March,2023,Thursday,7,165.3
"2023-02-21 11:50:00",02:52:11,Premium,"Beauty & Personal Care",309.91,5,1549.55,"Nandini Patel",February,2023,Tuesday,2,309.90999999999997
"2024-12-18 16:11:00",23:33:34,Member,"Home & Kitchen",389.47,2,778.94,"Gaurav Yadav",December,2024,Wednesday,23,389.47
"2023-06-08 21:43:00",20:55:25,Premium,Electronics,420.16,1,420.16,"Mahesh Zutshi",June,2023,Thursday,20,420.16
"2024-10-30 06:51:00",15:54:13,Premium,Grocery,408.48,5,2042.4,"Tanvi Jain",October,2024,Wednesday,15,408.48
"2024-12-28 02:19:00",03:58:05,Premium,Grocery,387.86,1,387.86,"Nandini Bhatia",December,2024,Saturday,3,387.86
"2025-01-07 01:20:00",10:48:57,Premium,Electronics,73.87,1,73.87,"Priya Rao",January,2025,Tuesday,10,73.87
"2024-03-27 21:49:00",19:20:10,Member,"Home & Kitchen",168.02,4,672.08,"Nandini Bhatia",March,2024,Wednesday,19,168.02
"2024-11-16 01:21:00",08:49:51,Regular,"Home & Kitchen",382.61,3,1147.83,"Tanvi Singh",November,2024,Saturday,8,382.60999999999996
"2023-07-06 17:11:00",08:04:18,Regular,Grocery,145.69,2,291.38,"Shreya Zutshi",July,2023,Thursday,8,145.69
"2023-12-15 06:32:00",09:37:26,Member,"Beauty & Personal Care",411.89,3,1235.67,"Eeshaan Kumar",December,2023,Friday,9,411.89000000000004
"2023-08-16 20:28:00",10:13:28,Member,Grocery,225.07,3,675.21,"Diya Sharma",August,2023,Wednesday,10,225.07000000000002
"2024-11-15 16:18:00",11:36:32,Regular,"Home & Kitchen",43.04,5,215.2,"Nandini Gupta",November,2024,Friday,11,43.04
"2023-03-31 08:14:00",18:06:05,Member,Clothing,55,5,275,"Shreya Patel",March,2023,Friday,18,55
"2024-02-02 21:52:00",18:23:05,Regular,"Home & Kitchen",54.72,4,218.88,"Tanvi Lal",February,2024,Friday,18,54.72
"2024-11-07 11:22:00",01:47:36,Premium,Electronics,87.59,2,175.18,"Jai Mehta",November,2024,Thursday,1,87.59
"2024-11-24 06:38:00",14:55:26,Premium,Electronics,407.27,3,1221.81,"Jai Khanna",November,2024,Sunday,14,407.27
"2023-11-06 12:54:00",16:35:36,Regular,Electronics,160.67,1,160.67,"Uday Singh",November,2023,Monday,16,160.67
"2023-10-07 20:38:00",05:53:29,Member,Grocery,11.01,4,44.04,"Shreya Mehta",October,2023,Saturday,5,11.01
"2023-07-26 23:43:00",10:17:38,Regular,"Home & Kitchen",126.25,1,126.25,"Lakshmi Gupta",July,2023,Wednesday,10,126.25
"2024-12-28 23:17:00",11:08:29,Premium,Grocery,258.44,5,1292.2,"Tanvi Zutshi",December,2024,Saturday,11,258.44
"2024-08-21 19:39:00",06:10:24,Regular,Clothing,236.73,1,236.73,"Krishna Yadav",August,2024,Wednesday,6,236.73
"2024-08-13 14:14:00",21:26:46,Regular,"Beauty & Personal Care",284.57,3,853.71,"Avani Singh",August,2024,Tuesday,21,284.57
"2023-05-27 18:11:00",21:55:40,Premium,Clothing,465.82,5,2329.1,"Yash Wadhwa",May,2023,Saturday,21,465.82
"2023-04-02 06:30:00",13:58:03,Member,"Home & Kitchen",361.46,1,361.46,"Rohan Chauhan",April,2023,Sunday,13,361.46
"2023-03-06 05:09:00",01:22:36,Regular,Clothing,246.46,3,739.38,"Gaurav Agarwal",March,2023,Monday,1,246.46
"2024-10-04 01:04:00",02:10:06,Member,Clothing,275.66,3,826.98,"Gaurav Chauhan",October,2024,Friday,2,275.66
"2023-03-08 05:47:00",08:01:18,Regular,"Beauty & Personal Care",294.6,3,883.8,"Eeshaan Wadhwa",March,2023,Wednesday,8,294.59999999999997
"2023-01-16 11:26:00",11:25:24,Premium,Clothing,400.51,2,801.02,"Shreya Iyer",January,2023,Monday,11,400.51
"2023-12-14 16:13:00",19:34:05,Regular,Electronics,211.74,2,423.48,"Rohan Wadhwa",December,2023,Thursday,19,211.74
"2023-04-15 16:23:00",13:55:00,Member,Grocery,128.42,4,513.68,"Yash Wadhwa",April,2023,Saturday,13,128.42
"2024-01-23 03:45:00",23:22:01,Premium,Grocery,326.14,3,978.42,"Eeshaan Singh",January,2024,Tuesday,23,326.14
"2023-09-24 07:38:00",12:30:36,Regular,Electronics,339.93,2,679.86,"Krishna Desai",September,2023,Sunday,12,339.93
"2024-07-04 02:13:00",19:25:53,Member,"Beauty & Personal Care",272.92,2,545.84,"Vaibhav Desai",July,2024,Thursday,19,272.92
"2023-06-03 18:01:00",01:02:45,Member,Electronics,494.87,3,1484.61,"Vaibhav Mehta",June,2023,Saturday,1,494.86999999999995
"2023-07-13 10:35:00",11:03:17,Regular,"Beauty & Personal Care",482.49,5,2412.45,"Vaibhav Desai",July,2023,Thursday,11,482.48999999999995
"2023-09-08 20:54:00",23:56:57,Member,"Beauty & Personal Care",159.49,5,797.45,"Diya Verma",September,2023,Friday,23,159.49
"2023-01-06 01:20:00",09:49:57,Premium,"Home & Kitchen",442.12,4,1768.48,"Uday Desai",January,2023,Friday,9,442.12
"2024-10-07 04:26:00",15:11:59,Premium,"Home & Kitchen",413.31,1,413.31,"Mahesh Gupta",October,2024,Monday,15,413.31
"2024-10-13 03:33:00",19:32:08,Member,Clothing,207.8,5,1039,"Shreya Iyer",October,2024,Sunday,19,207.8
"2023-06-18 16:59:00",04:23:51,Premium,"Home & Kitchen",384.31,4,1537.24,"Nandini Patel",June,2023,Sunday,4,384.31
"2023-03-25 05:32:00",17:36:52,Premium,Electronics,345.9,2,691.8,"Lakshmi Bhatia",March,2023,Saturday,17,345.9
"2024-01-09 10:15:00",06:18:42,Premium,Grocery,213.45,5,1067.25,"Diya Agarwal",January,2024,Tuesday,6,213.45
"2023-10-02 17:41:00",04:11:45,Premium,"Beauty & Personal Care",76.16,5,380.8,"Shreya Khanna",October,2023,Monday,4,76.16
"2024-10-20 22:02:00",05:56:58,Premium,Electronics,483.8,1,483.8,"Uday Desai",October,2024,Sunday,5,483.8
"2023-05-05 10:24:00",23:08:06,Premium,Clothing,407.27,5,2036.35,"Avani Yadav",May,2023,Friday,23,407.27
"2023-12-07 17:15:00",03:19:48,Member,"Home & Kitchen",241.71,4,966.84,"Nandini Jain",December,2023,Thursday,3,241.71
"2023-11-16 14:10:00",17:12:15,Regular,Grocery,137.25,2,274.5,"Priya Gupta",November,2023,Thursday,17,137.25
"2024-03-15 17:04:00",11:14:03,Member,Electronics,135.68,1,135.68,"Eeshaan Lal",March,2024,Friday,11,135.68
"2025-01-04 13:49:00",06:06:51,Member,Grocery,160.46,2,320.92,"Zara Rao",January,2025,Saturday,6,160.46
"2024-04-28 02:11:00",09:57:25,Premium,Electronics,102.92,1,102.92,"Priya Khanna",April,2024,Sunday,9,102.92
"2023-12-07 06:50:00",10:56:32,Regular,Electronics,416.46,2,832.92,"Eeshaan Wadhwa",December,2023,Thursday,10,416.46
"2023-04-07 15:55:00",21:45:17,Premium,Grocery,323.03,3,969.09,"Bhavesh Sharma",April,2023,Friday,21,323.03000000000003
"2024-10-07 00:15:00",10:25:30,Member,Grocery,400.27,2,800.54,"Avani Chauhan",October,2024,Monday,10,400.27
"2024-08-30 05:09:00",00:15:21,Member,Grocery,375.34,3,1126.02,"Shreya Wadhwa",August,2024,Friday,0,375.34
"2024-10-04 09:09:00",23:29:24,Regular,"Beauty & Personal Care",213.89,5,1069.45,"Tanvi Zutshi",October,2024,Friday,23,213.89000000000001
"2023-03-23 20:14:00",09:33:48,Member,"Home & Kitchen",259.94,3,779.82,"Vaibhav Iyer",March,2023,Thursday,9,259.94
"2023-10-21 06:24:00",17:37:24,Regular,Grocery,437.05,5,2185.25,"Zara Singh",October,2023,Saturday,17,437.05
"2023-10-14 14:07:00",12:10:24,Member,Electronics,143.66,5,718.3,"Lakshmi Gupta",October,2023,Saturday,12,143.66
"2024-12-07 03:29:00",15:27:12,Premium,"Beauty & Personal Care",150.67,3,452.01,"Avani Desai",December,2024,Saturday,15,150.67
"2023-08-08 08:10:00",19:21:51,Regular,Clothing,404.35,4,1617.4,"Krishna Zutshi",August,2023,Tuesday,19,404.35
"2024-02-01 12:03:00",19:48:41,Regular,Grocery,419.84,3,1259.52,"Krishna Mehta",February,2024,Thursday,19,419.84
"2023-11-03 14:46:00",10:56:52,Member,"Home & Kitchen",374.53,1,374.53,"Ishaan Jain",November,2023,Friday,10,374.53
"2024-10-12 00:02:00",02:55:54,Premium,Electronics,358.87,4,1435.48,"Avani Khanna",October,2024,Saturday,2,358.87
"2024-12-11 04:57:00",14:23:58,Regular,Grocery,457.22,4,1828.88,"Ishaan Verma",December,2024,Wednesday,14,457.22
"2024-03-31 09:37:00",13:55:22,Member,Grocery,453.63,3,1360.89,"Uday Sharma",March,2024,Sunday,13,453.63000000000005
"2023-04-28 05:24:00",14:56:36,Member,Clothing,458.32,1,458.32,"Krishna Jain",April,2023,Friday,14,458.32
"2024-12-08 14:21:00",06:06:51,Regular,Electronics,345.19,2,690.38,"Priya Khanna",December,2024,Sunday,6,345.19
"2023-06-12 02:53:00",02:13:54,Premium,Electronics,339.71,3,1019.13,"Krishna Bhatia",June,2023,Monday,2,339.71
"2023-05-03 14:49:00",17:10:24,Member,Electronics,385.17,5,1925.85,"Eeshaan Kumar",May,2023,Wednesday,17,385.16999999999996
"2024-11-13 12:54:00",16:27:35,Premium,Clothing,219,3,657,"Priya Lal",November,2024,Wednesday,16,219
"2023-10-16 12:15:00",23:00:00,Member,Clothing,489.08,3,1467.24,"Shreya Iyer",October,2023,Monday,23,489.08
"2023-06-29 18:15:00",11:31:15,Regular,Electronics,57.72,5,288.6,"Ishaan Bhatia",June,2023,Thursday,11,57.720000000000006
"2024-03-28 15:43:00",13:34:08,Regular,Grocery,410.55,5,2052.75,"Bhavesh Chauhan",March,2024,Thursday,13,410.55
"2024-01-03 21:10:00",14:24:13,Member,Electronics,27.55,5,137.75,"Yash Khanna",January,2024,Wednesday,14,27.55
"2023-12-12 03:30:00",11:18:49,Member,Clothing,252.93,3,758.79,"Priya Bhatia",December,2023,Tuesday,11,252.92999999999998
"2023-12-01 20:53:00",01:14:11,Regular,Grocery,381.94,5,1909.7,"Krishna Iyer",December,2023,Friday,1,381.94
"2024-08-10 06:57:00",07:37:16,Premium,Electronics,398.86,5,1994.3,"Lakshmi Chauhan",August,2024,Saturday,7,398.86
"2023-08-11 23:12:00",10:37:10,Regular,Electronics,172.17,5,860.85,"Tanvi Agarwal",August,2023,Friday,10,172.17000000000002
"2024-02-28 16:58:00",08:33:38,Regular,"Beauty & Personal Care",476.55,3,1429.65,"Ishaan Zutshi",February,2024,Wednesday,8,476.55
"2023-07-09 12:18:00",01:50:17,Member,"Home & Kitchen",274.21,3,822.63,"Bhavesh Gupta",July,2023,Sunday,1,274.21
"2023-10-27 03:53:00",20:16:27,Premium,"Beauty & Personal Care",82.36,5,411.8,"Vaibhav Bhatia",October,2023,Friday,20,82.36
"2023-04-05 02:25:00",15:22:11,Premium,Electronics,183.4,5,917,"Nandini Gupta",April,2023,Wednesday,15,183.4
"2024-05-31 05:39:00",04:29:03,Premium,Clothing,432.68,2,865.36,"Nandini Bhatia",May,2024,Friday,4,432.68
"2024-07-13 13:27:00",18:16:28,Regular,"Beauty & Personal Care",451.22,1,451.22,"Eeshaan Verma",July,2024,Saturday,18,451.22
"2024-07-13 07:33:00",12:48:23,Member,Electronics,80.62,2,161.24,"Eeshaan Xavier",July,2024,Saturday,12,80.62
"2023-12-15 08:07:00",09:31:41,Premium,Grocery,106.95,4,427.8,"Lakshmi Jain",December,2023,Friday,9,106.95
"2023-03-25 14:25:00",18:50:25,Premium,Electronics,259.78,5,1298.9,"Shreya Lal",March,2023,Saturday,18,259.78000000000003
"2023-05-16 08:20:00",21:10:20,Premium,Electronics,326.81,5,1634.05,"Bhavesh Desai",May,2023,Tuesday,21,326.81
"2023-09-26 05:06:00",13:46:10,Member,"Home & Kitchen",197.84,1,197.84,"Lakshmi Bhatia",September,2023,Tuesday,13,197.84
"2024-08-25 20:09:00",19:06:32,Regular,Electronics,110.97,4,443.88,"Diya Sharma",August,2024,Sunday,19,110.97
"2024-09-17 22:03:00",17:57:44,Premium,Electronics,74.26,4,297.04,"Nandini Patel",September,2024,Tuesday,17,74.26
"2024-04-30 08:48:00",10:05:35,Regular,"Beauty & Personal Care",434.1,5,2170.5,"Krishna Wadhwa",April,2024,Tuesday,10,434.1
"2023-08-12 20:56:00",04:36:10,Premium,"Beauty & Personal Care",468.77,1,468.77,"Vaibhav Jain",August,2023,Saturday,4,468.77
"2024-10-31 20:32:00",21:41:59,Member,Electronics,149.52,2,299.04,"Jai Iyer",October,2024,Thursday,21,149.52
"2024-01-22 01:10:00",18:29:01,Premium,Grocery,478.3,5,2391.5,"Ishaan Lal",January,2024,Monday,18,478.3
"2023-11-18 11:00:00",09:59:33,Member,Grocery,129.96,3,389.88,"Rohan Gupta",November,2023,Saturday,9,129.96
"2024-11-05 03:50:00",13:36:57,Regular,Grocery,160.02,1,160.02,"Tanvi Chauhan",November,2024,Tuesday,13,160.02
"2023-05-28 21:15:00",11:20:22,Premium,"Beauty & Personal Care",169.78,3,509.34,"Vaibhav Lal",May,2023,Sunday,11,169.78
"2023-10-03 08:49:00",05:03:51,Member,Electronics,57.39,1,57.39,"Gaurav Gupta",October,2023,Tuesday,5,57.39
"2023-03-11 22:32:00",13:50:10,Premium,Electronics,475.87,2,951.74,"Priya Zutshi",March,2023,Saturday,13,475.87
"2023-02-15 01:04:00",23:59:18,Premium,Electronics,58.93,2,117.86,"Tanvi Jain",February,2023,Wednesday,23,58.93
"2024-03-17 16:21:00",22:00:34,Regular,Clothing,369.86,5,1849.3,"Avani Singh",March,2024,Sunday,22,369.86
"2024-01-04 20:25:00",19:37:49,Regular,Grocery,173.18,2,346.36,"Eeshaan Desai",January,2024,Thursday,19,173.18
"2024-02-02 04:15:00",22:51:15,Member,Electronics,389.53,5,1947.65,"Tanvi Rao",February,2024,Friday,22,389.53000000000003
"2023-07-08 05:28:00",15:41:52,Regular,Grocery,33.08,3,99.24,"Mahesh Gupta",July,2023,Saturday,15,33.08
"2023-05-13 21:43:00",16:11:23,Member,Clothing,397.16,1,397.16,"Jai Rao",May,2023,Saturday,16,397.16
"2023-07-28 06:14:00",02:04:09,Regular,Grocery,410.64,1,410.64,"Bhavesh Kumar",July,2023,Friday,2,410.64
"2024-01-21 00:03:00",23:09:54,Regular,Electronics,342.12,4,1368.48,"Avani Yadav",January,2024,Sunday,23,342.12
"2024-05-16 14:13:00",14:45:25,Premium,Grocery,378.24,3,1134.72,"Nandini Xavier",May,2024,Thursday,14,378.24
"2024-08-09 09:21:00",09:41:15,Premium,Grocery,395.13,5,1975.65,"Uday Yadav",August,2024,Friday,9,395.13
"2024-05-19 19:21:00",18:37:39,Premium,"Home & Kitchen",11.53,1,11.53,"Krishna Gupta",May,2024,Sunday,18,11.53
"2023-02-20 22:42:00",02:48:55,Regular,Clothing,214.91,2,429.82,"Jai Singh",February,2023,Monday,2,214.91
"2024-05-11 11:56:00",21:17:53,Member,Electronics,499.9,5,2499.5,"Nandini Gupta",May,2024,Saturday,21,499.9
"2023-06-07 19:58:00",07:53:59,Regular,"Beauty & Personal Care",444,3,1332,"Vaibhav Sharma",June,2023,Wednesday,7,444
"2025-01-02 01:58:00",18:03:37,Member,Clothing,97.8,3,293.4,"Mahesh Mehta",January,2025,Thursday,18,97.8
"2024-01-04 09:24:00",07:15:01,Premium,Electronics,339.67,3,1019.01,"Nandini Khanna",January,2024,Thursday,7,339.67
"2023-04-25 07:25:00",17:07:24,Premium,"Beauty & Personal Care",46.49,1,46.49,"Jai Lal",April,2023,Tuesday,17,46.49
"2024-11-16 00:16:00",11:49:43,Member,Grocery,103.94,5,519.7,"Zara Sharma",November,2024,Saturday,11,103.94000000000001
"2024-08-30 01:57:00",23:51:36,Member,"Beauty & Personal Care",15.36,2,30.72,"Aakash Kumar",August,2024,Friday,23,15.36
